time,1_x,1_y,1_z,control_pressure_0,control_pressure_1,control_pressure_2
1697541941.833831,0.031762,0.354268,0.201808,2.0,2.0,2.0
1697541941.843434,0.031769,0.354269,0.201807,2.0,2.0,2.0
1697541941.853403,0.031775,0.35427,0.201806,2.0,2.0,2.0
1697541941.863489,0.031782,0.354272,0.201806,2.0,2.0,2.0
1697541941.873735,0.031788,0.354273,0.201805,2.0,2.0,2.0
1697541941.883364,0.031794,0.354274,0.201804,2.0,2.0,2.0
1697541941.893613,0.0318,0.354276,0.201803,2.0,2.0,2.0
1697541941.903805,0.031805,0.354277,0.201801,2.0,2.0,2.0
1697541941.913283,0.031811,0.354278,0.2018,2.0,2.0,2.0
1697541941.92361,0.031816,0.35428,0.201799,2.0,2.0,2.0
1697541941.933672,0.031822,0.354281,0.201798,2.0,2.0,2.0
1697541941.943364,0.031827,0.354282,0.201797,2.0,2.0,2.0
1697541941.952996,0.031832,0.354283,0.201797,2.0,2.0,2.0
1697541941.963432,0.031837,0.354285,0.201796,2.0,2.0,2.0
1697541941.973391,0.031841,0.354286,0.201795,2.0,2.0,2.0
1697541941.98293,0.031846,0.354287,0.201794,2.0,2.0,2.0
1697541941.992908,0.031851,0.354288,0.201793,2.0,2.0,2.0
1697541942.00256,0.031855,0.354289,0.201792,2.0,2.0,2.0
1697541942.013631,0.03186,0.35429,0.201791,2.0,2.0,2.0
1697541942.024018,0.031864,0.354291,0.20179,2.0,2.0,2.0
1697541942.032977,0.031869,0.354292,0.201789,2.0,2.0,2.0
1697541942.043411,0.031873,0.354293,0.201788,2.0,2.0,2.0
1697541942.053556,0.031877,0.354294,0.201787,2.0,2.0,2.0
1697541942.062686,0.031881,0.354295,0.201786,2.0,2.0,2.0
1697541942.073397,0.031884,0.354296,0.201785,2.0,2.0,2.0
1697541942.083403,0.031888,0.354297,0.201784,2.0,2.0,2.0
1697541942.093807,0.031891,0.354298,0.201783,2.0,2.0,2.0
1697541942.10371,0.031895,0.354299,0.201781,2.0,2.0,2.0
1697541942.113414,0.031898,0.3543,0.20178,2.0,2.0,2.0
1697541942.124441,0.031901,0.3543,0.201779,2.0,2.0,2.0
1697541942.133582,0.031904,0.354301,0.201778,2.0,2.0,2.0
1697541942.14316,0.031908,0.354302,0.201777,2.0,2.0,2.0
1697541942.153804,0.031911,0.354302,0.201776,2.0,2.0,2.0
1697541942.162889,0.031914,0.354303,0.201775,2.0,2.0,2.0
1697541942.1734,0.031916,0.354304,0.201774,2.0,2.0,2.0
1697541942.184354,0.031919,0.354305,0.201774,2.0,2.0,2.0
1697541942.193352,0.031922,0.354306,0.201773,2.0,2.0,2.0
1697541942.20329,0.031924,0.354307,0.201772,2.0,2.0,2.0
1697541942.214493,0.031926,0.354307,0.201772,2.0,2.0,2.0
1697541942.223253,0.031929,0.354308,0.201771,2.0,2.0,2.0
1697541942.233774,0.031931,0.354309,0.201771,2.0,2.0,2.0
1697541942.244767,0.031934,0.35431,0.20177,2.0,2.0,2.0
1697541942.253014,0.031936,0.35431,0.201769,2.0,2.0,2.0
1697541942.263158,0.031938,0.354311,0.201768,2.0,2.0,2.0
1697541942.274468,0.031941,0.354311,0.201767,2.0,2.0,2.0
1697541942.283559,0.031943,0.354312,0.201767,2.0,2.0,2.0
1697541942.293934,0.031945,0.354313,0.201766,2.0,2.0,2.0
1697541942.30301,0.031947,0.354313,0.201765,2.0,2.0,2.0
1697541942.313557,0.031949,0.354314,0.201765,2.0,2.0,2.0
1697541942.323515,0.03195,0.354315,0.201764,2.0,2.0,2.0
1697541942.333713,0.031952,0.354315,0.201763,2.0,2.0,2.0
1697541942.34283,0.031953,0.354316,0.201763,2.0,2.0,2.0
1697541942.353431,0.031955,0.354317,0.201762,2.0,2.0,2.0
1697541942.362879,0.031957,0.354318,0.201761,2.0,2.0,2.0
1697541942.37245,0.031959,0.354318,0.20176,2.0,2.0,2.0
1697541942.383208,0.03196,0.354319,0.201759,2.0,2.0,2.0
1697541942.393702,0.031962,0.354319,0.201758,2.0,2.0,2.0
1697541942.402764,0.031963,0.35432,0.201757,2.0,2.0,2.0
1697541942.413339,0.031964,0.35432,0.201757,2.0,2.0,2.0
1697541942.423534,0.031965,0.354321,0.201756,2.0,2.0,2.0
1697541942.433241,0.031966,0.354322,0.201756,2.0,2.0,2.0
1697541942.442846,0.031967,0.354322,0.201755,2.0,2.0,2.0
1697541942.453383,0.031968,0.354323,0.201754,2.0,2.0,2.0
1697541942.46277,0.031969,0.354323,0.201753,2.0,2.0,2.0
1697541942.473182,0.031969,0.354324,0.201752,2.0,2.0,2.0
1697541942.483216,0.03197,0.354324,0.201752,2.0,2.0,2.0
1697541942.49368,0.031972,0.354325,0.201752,2.0,2.0,2.0
1697541942.503011,0.031973,0.354325,0.201751,2.0,2.0,2.0
1697541942.513354,0.031974,0.354326,0.201751,2.0,2.0,2.0
1697541942.52365,0.031975,0.354326,0.20175,2.0,2.0,2.0
1697541942.53338,0.031975,0.354327,0.20175,2.0,2.0,2.0
1697541942.543534,0.031976,0.354327,0.20175,2.0,2.0,2.0
1697541942.554337,0.031977,0.354328,0.201749,2.0,2.0,2.0
1697541942.563365,0.031978,0.354328,0.201749,2.0,2.0,2.0
1697541942.573274,0.031979,0.354328,0.201749,2.0,2.0,2.0
1697541942.584247,0.031979,0.354328,0.201749,2.0,2.0,2.0
1697541942.593277,0.03198,0.354329,0.201749,2.0,2.0,2.0
1697541942.603465,0.031981,0.354329,0.201748,2.0,2.0,2.0
